State,Year,Quarter,District_name,Transaction_count,Transaction_amount
Arunachal Pradesh,2022,4,Upper Siang District,61031,174436476.513136
Arunachal Pradesh,2022,4,Tirap District,88024,205933250.0190781
Arunachal Pradesh,2022,4,Papum Pare District,1917365,3401999228.9392605
Arunachal Pradesh,2022,4,Kurung Kumey District,14780,55991360.89182171
Arunachal Pradesh,2022,4,Anjaw District,31170,86691809.7433357
Arunachal Pradesh,2022,4,Siang District,46250,124012661.78071377
Arunachal Pradesh,2022,4,Lower Siang District,50212,111700711.05104405
Arunachal Pradesh,2022,4,Kra Daadi District,19724,69295211.52201861
Arunachal Pradesh,2022,4,Changlang District,254818,572195646.772961
Arunachal Pradesh,2022,4,Pakke Kessang District,15377,28806042.8090343
Arunachal Pradesh,2022,4,Dibang Valley District,3440,17938501.796178654
Arunachal Pradesh,2022,4,West Kameng District,421418,954522716.7333797
Arunachal Pradesh,2022,4,Shi Yomi District,4926,33977040.52287009
Arunachal Pradesh,2022,4,East Siang District,327737,623525449.463265
Arunachal Pradesh,2022,4,Upper Subansiri District,93017,285077053.9982841
Arunachal Pradesh,2022,4,East Kameng District,68774,178064501.28067553
Arunachal Pradesh,2022,4,Lohit District,276551,503661703.8315097
Arunachal Pradesh,2022,4,Lepa Rada District,51416,127294274.35791278
Arunachal Pradesh,2022,4,Tawang District,155419,518332824.89263654
Arunachal Pradesh,2022,4,Namsai District,188919,307955075.5201911
Arunachal Pradesh,2023,1,Lower Dibang Valley District,256396,537713700.0
Arunachal Pradesh,2023,1,Lower Subansiri District,257899,585614438.0
Arunachal Pradesh,2023,1,Longding District,107606,261124844.0
Arunachal Pradesh,2023,1,West Siang District,320064,764188915.0
Arunachal Pradesh,2023,1,Kamle District,40383,92585537.0
Arunachal Pradesh,2023,1,Upper Siang District,103335,268653642.0
Arunachal Pradesh,2023,1,Tirap District,157071,368592354.0
Arunachal Pradesh,2023,1,Papum Pare District,3302746,5900429571.0
Arunachal Pradesh,2023,1,Kurung Kumey District,29127,97772110.0
Arunachal Pradesh,2023,1,Anjaw District,47386,125631329.0
Arunachal Pradesh,2023,1,Siang District,80741,201397801.0
Arunachal Pradesh,2023,1,Lower Siang District,95379,206156352.0
Arunachal Pradesh,2023,1,Kra Daadi District,39986,133651279.0
Arunachal Pradesh,2023,1,Changlang District,494506,1101499481.0
Arunachal Pradesh,2023,1,Pakke Kessang District,29274,53298027.0
Arunachal Pradesh,2023,1,Dibang Valley District,6327,28921318.0
Arunachal Pradesh,2023,1,West Kameng District,662521,1414404520.0
Arunachal Pradesh,2023,1,Shi Yomi District,6633,38151814.0
Arunachal Pradesh,2023,1,East Siang District,535198,990989057.0
Arunachal Pradesh,2023,1,Upper Subansiri District,179629,533663642.0
Arunachal Pradesh,2023,1,East Kameng District,150931,375398867.0
Arunachal Pradesh,2023,1,Lohit District,483285,870836418.0
Arunachal Pradesh,2023,1,Lepa Rada District,91748,200811427.0
Arunachal Pradesh,2023,1,Tawang District,239151,724541898.0
Arunachal Pradesh,2023,1,Namsai District,325503,518550113.0
Arunachal Pradesh,2023,2,Lower Dibang Valley District,320847,641502543.0
Arunachal Pradesh,2023,2,Lower Subansiri District,341107,689315626.0
Arunachal Pradesh,2023,2,Longding District,130522,285288333.0
Arunachal Pradesh,2023,2,West Siang District,450143,970914462.0
Arunachal Pradesh,2023,2,Kamle District,55865,106363865.0
Arunachal Pradesh,2023,2,Upper Siang District,128805,301652672.0
Arunachal Pradesh,2023,2,Tirap District,200783,446804515.0
Arunachal Pradesh,2023,2,Papum Pare District,4245307,7148674913.0
Arunachal Pradesh,2023,2,Kurung Kumey District,31722,97669815.0
Arunachal Pradesh,2023,2,Anjaw District,56827,151922212.0
Arunachal Pradesh,2023,2,Siang District,105020,227425026.0
Arunachal Pradesh,2023,2,Lower Siang District,111333,218937621.0
Arunachal Pradesh,2023,2,Kra Daadi District,47120,134813823.0
Arunachal Pradesh,2023,2,Changlang District,615184,1260077796.0
Arunachal Pradesh,2023,2,Pakke Kessang District,34356,58620893.0
Arunachal Pradesh,2023,2,Dibang Valley District,8132,39137344.0
Arunachal Pradesh,2023,2,West Kameng District,870033,1803248166.0
Arunachal Pradesh,2023,2,Shi Yomi District,10945,63767934.0
Arunachal Pradesh,2023,2,East Siang District,689624,1177576754.0
Arunachal Pradesh,2023,2,Upper Subansiri District,246349,680733513.0
Arunachal Pradesh,2023,2,East Kameng District,200350,450768238.0
Arunachal Pradesh,2023,2,Lohit District,592587,984621672.0
Arunachal Pradesh,2023,2,Lepa Rada District,118411,242626097.0
Arunachal Pradesh,2023,2,Tawang District,339605,1003663723.0
Arunachal Pradesh,2023,2,Namsai District,409511,619571108.0
Arunachal Pradesh,2023,3,Lower Dibang Valley District,389175,628025556.0
Arunachal Pradesh,2023,3,Lower Subansiri District,482224,818756305.0
Arunachal Pradesh,2023,3,Longding District,150276,281708440.0
Arunachal Pradesh,2023,3,West Siang District,554407,1037211224.0
Arunachal Pradesh,2023,3,Kamle District,62975,104430900.0
Arunachal Pradesh,2023,3,Upper Siang District,157030,348328951.0
Arunachal Pradesh,2023,3,Tirap District,237127,447309633.0
Arunachal Pradesh,2023,3,Papum Pare District,5410471,7595971259.0
Arunachal Pradesh,2023,3,Kurung Kumey District,52807,135509046.0
Arunachal Pradesh,2023,3,Anjaw District,69246,178422001.0
Arunachal Pradesh,2023,3,Siang District,126921,230649450.0
Arunachal Pradesh,2023,3,Lower Siang District,134761,230582572.0
Arunachal Pradesh,2023,3,Kra Daadi District,64924,146211703.0
Arunachal Pradesh,2023,3,Changlang District,712587,1216076703.0
Arunachal Pradesh,2023,3,Pakke Kessang District,39091,54219594.0
Arunachal Pradesh,2023,3,Dibang Valley District,12694,53416276.0
Arunachal Pradesh,2023,3,West Kameng District,1036743,1923965574.0
Arunachal Pradesh,2023,3,Shi Yomi District,15854,79871837.0
Arunachal Pradesh,2023,3,East Siang District,810283,1247686937.0
Arunachal Pradesh,2023,3,Upper Subansiri District,281370,724981091.0
Arunachal Pradesh,2023,3,East Kameng District,259522,488197907.0
Arunachal Pradesh,2023,3,Lohit District,700473,1048609233.0
Arunachal Pradesh,2023,3,Lepa Rada District,140239,253727652.0
Arunachal Pradesh,2023,3,Tawang District,423923,1199412955.0
Arunachal Pradesh,2023,3,Namsai District,477310,654108287.0
Arunachal Pradesh,2023,4,Lower Dibang Valley District,456242,780822119.0
Arunachal Pradesh,2023,4,Lower Subansiri District,559506,959863862.0
Arunachal Pradesh,2023,4,Longding District,176666,332931262.0
Arunachal Pradesh,2023,4,West Siang District,687577,1262224512.0
Arunachal Pradesh,2023,4,Kamle District,69707,123271590.0
Arunachal Pradesh,2023,4,Upper Siang District,188063,398373540.0
Arunachal Pradesh,2023,4,Tirap District,289385,535162444.0
Arunachal Pradesh,2023,4,Papum Pare District,5938599,8374060439.0
Arunachal Pradesh,2023,4,Kurung Kumey District,65869,159910955.0
Arunachal Pradesh,2023,4,Anjaw District,99303,222941392.0
Arunachal Pradesh,2023,4,Siang District,145231,259192071.0
Arunachal Pradesh,2023,4,Lower Siang District,161327,277578144.0
Arunachal Pradesh,2023,4,Kra Daadi District,83516,184199521.0
Arunachal Pradesh,2023,4,Changlang District,806945,1430052570.0
Arunachal Pradesh,2023,4,Pakke Kessang District,41236,61144256.0
Arunachal Pradesh,2023,4,Dibang Valley District,32123,79988144.0
Arunachal Pradesh,2023,4,West Kameng District,1195192,2162840497.0
Arunachal Pradesh,2023,4,Shi Yomi District,18458,91284638.0
Arunachal Pradesh,2023,4,East Siang District,931589,1416674919.0
Arunachal Pradesh,2023,4,Upper Subansiri District,342000,855586655.0
Arunachal Pradesh,2023,4,East Kameng District,327263,578170716.0
Arunachal Pradesh,2023,4,Lohit District,779252,1192879539.0
Arunachal Pradesh,2023,4,Lepa Rada District,179912,322215111.0
Arunachal Pradesh,2023,4,Tawang District,509181,1297707130.0
Arunachal Pradesh,2023,4,Namsai District,533600,769723768.0
Arunachal Pradesh,2024,1,Lower Dibang Valley District,537101,895489788.0
Arunachal Pradesh,2024,1,Lower Subansiri District,609737,984003451.0
Arunachal Pradesh,2024,1,Longding District,212689,392979365.0
Arunachal Pradesh,2024,1,West Siang District,798151,1405173317.0
Arunachal Pradesh,2024,1,Kamle District,93992,155153560.0
Arunachal Pradesh,2024,1,Upper Siang District,213254,413815110.0
Arunachal Pradesh,2024,1,Tirap District,332228,605896793.0
Arunachal Pradesh,2024,1,Papum Pare District,6605744,9147478408.0
Arunachal Pradesh,2024,1,Kurung Kumey District,79689,177766657.0
Arunachal Pradesh,2024,1,Anjaw District,114263,240244044.0
Arunachal Pradesh,2024,1,Siang District,170531,295550966.0
Arunachal Pradesh,2024,1,Lower Siang District,184763,299922531.0
Arunachal Pradesh,2024,1,Kra Daadi District,109160,196706566.0
Arunachal Pradesh,2024,1,Changlang District,927421,1575177845.0
Arunachal Pradesh,2024,1,Pakke Kessang District,47616,67601731.0
Arunachal Pradesh,2024,1,Dibang Valley District,49240,93604600.0
Arunachal Pradesh,2024,1,West Kameng District,1262496,2128971870.0
Arunachal Pradesh,2024,1,Shi Yomi District,20285,84537904.0
Arunachal Pradesh,2024,1,East Siang District,1022852,1533777566.0
Arunachal Pradesh,2024,1,Upper Subansiri District,434786,963125298.0
Arunachal Pradesh,2024,1,East Kameng District,437050,765564626.0
Arunachal Pradesh,2024,1,Lohit District,857194,1324795981.0
Arunachal Pradesh,2024,1,Lepa Rada District,213363,368660544.0
Arunachal Pradesh,2024,1,Tawang District,475300,1114613679.0
Arunachal Pradesh,2024,1,Namsai District,597509,816432276.0
Arunachal Pradesh,2024,2,Lower Dibang Valley District,616423,946388381.0
Arunachal Pradesh,2024,2,Lower Subansiri District,692774,1060865759.0
Arunachal Pradesh,2024,2,Longding District,237974,406490596.0
Arunachal Pradesh,2024,2,West Siang District,970111,1686897043.0
Arunachal Pradesh,2024,2,Kamle District,111669,174722260.0
Arunachal Pradesh,2024,2,Upper Siang District,235092,440835877.0
Arunachal Pradesh,2024,2,Tirap District,370891,618929038.0
Arunachal Pradesh,2024,2,Papum Pare District,7717891,10352999522.0
Arunachal Pradesh,2024,2,Kurung Kumey District,96155,216947827.0
Arunachal Pradesh,2024,2,Anjaw District,125261,261114475.0
Arunachal Pradesh,2024,2,Siang District,208064,348203083.0
Arunachal Pradesh,2024,2,Lower Siang District,246028,345024572.0
Arunachal Pradesh,2024,2,Kra Daadi District,133421,238138949.0
Arunachal Pradesh,2024,2,Changlang District,1067550,1650011617.0
Arunachal Pradesh,2024,2,Pakke Kessang District,59936,81694831.0
Arunachal Pradesh,2024,2,Dibang Valley District,65536,122005882.0
Arunachal Pradesh,2024,2,West Kameng District,1533560,2526904044.0
Arunachal Pradesh,2024,2,Shi Yomi District,34059,138178158.0
Arunachal Pradesh,2024,2,East Siang District,1238349,1806470576.0
Arunachal Pradesh,2024,2,Upper Subansiri District,570164,1188837089.0
Arunachal Pradesh,2024,2,East Kameng District,513613,936465434.0
Arunachal Pradesh,2024,2,Lohit District,1019785,1419525043.0
Arunachal Pradesh,2024,2,Lepa Rada District,258361,416862984.0
Arunachal Pradesh,2024,2,Tawang District,649179,1448798400.0
Arunachal Pradesh,2024,2,Namsai District,706526,873040190.0
Arunachal Pradesh,2024,3,Lower Subansiri District,984578,1264256195.0
Arunachal Pradesh,2024,3,Tirap District,467939,659350053.0
Arunachal Pradesh,2024,3,Papum Pare District,2352663,2487594981.0
Arunachal Pradesh,2024,3,Anjaw District,154915,312890741.0
Arunachal Pradesh,2024,3,Lower Siang District,341684,492055312.0
Arunachal Pradesh,2024,3,Dibang Valley District,119857,190175317.0
Arunachal Pradesh,2024,3,West Kameng District,2010514,3007838695.0
Arunachal Pradesh,2024,3,Shi Yomi District,43126,155129580.0
Arunachal Pradesh,2024,3,East Kameng District,608253,833058912.0
Arunachal Pradesh,2024,3,Lohit District,930827,1074183610.0
Arunachal Pradesh,2024,3,Lepa Rada District,305614,396558764.0
Arunachal Pradesh,2024,3,Lower Dibang Valley District,704589,892111638.0
Arunachal Pradesh,2024,3,Longding District,297539,424673774.0
Arunachal Pradesh,2024,3,Itanagar Capital Complex District,7449861,8416147864.0
Arunachal Pradesh,2024,3,West Siang District,1229222,1677531446.0
Arunachal Pradesh,2024,3,Kamle District,148354,175318428.0
Arunachal Pradesh,2024,3,Upper Siang District,282285,483550328.0
Arunachal Pradesh,2024,3,Kurung Kumey District,106991,204114206.0
Arunachal Pradesh,2024,3,Siang District,223693,316572767.0
Arunachal Pradesh,2024,3,Kra Daadi District,158386,237531854.0
Arunachal Pradesh,2024,3,Changlang District,1161624,1516292019.0
Arunachal Pradesh,2024,3,Pakke Kessang District,92889,103333396.0
Arunachal Pradesh,2024,3,East Siang District,1604493,2043139150.0
Arunachal Pradesh,2024,3,Upper Subansiri District,676262,1093279079.0
Arunachal Pradesh,2024,3,Tawang District,813905,1725280645.0
Arunachal Pradesh,2024,3,Namsai District,1177079,1419987951.0
Arunachal Pradesh,2024,4,Lower Subansiri District,1023776,1321086015.0
Arunachal Pradesh,2024,4,Tirap District,552174,759347661.0
Arunachal Pradesh,2024,4,Papum Pare District,2419497,2645782108.0
Arunachal Pradesh,2024,4,Anjaw District,274453,503425028.0
Arunachal Pradesh,2024,4,Lower Siang District,376722,517668433.0
Arunachal Pradesh,2024,4,Dibang Valley District,152005,227818792.0
Arunachal Pradesh,2024,4,West Kameng District,2107524,3219015374.0
Arunachal Pradesh,2024,4,Shi Yomi District,70842,222983839.0
Arunachal Pradesh,2024,4,East Kameng District,684487,899855147.0
Arunachal Pradesh,2024,4,Lohit District,1024425,1233068373.0
Arunachal Pradesh,2024,4,Lepa Rada District,351077,473147394.0
Arunachal Pradesh,2024,4,Lower Dibang Valley District,785220,1038509731.0
Arunachal Pradesh,2024,4,Longding District,353251,496519994.0
Arunachal Pradesh,2024,4,Itanagar Capital Complex District,7929590,8951596062.0
Arunachal Pradesh,2024,4,West Siang District,1415567,1943675537.0
Arunachal Pradesh,2024,4,Kamle District,159162,182583609.0
Arunachal Pradesh,2024,4,Upper Siang District,333541,557498901.0
Arunachal Pradesh,2024,4,Kurung Kumey District,128721,222368459.0
Arunachal Pradesh,2024,4,Siang District,251400,368618246.0
Arunachal Pradesh,2024,4,Kra Daadi District,167666,257207384.0
Arunachal Pradesh,2024,4,Changlang District,1295250,1770311293.0
Arunachal Pradesh,2024,4,Pakke Kessang District,109484,127336316.0
Arunachal Pradesh,2024,4,East Siang District,1813239,2282781446.0
Arunachal Pradesh,2024,4,Upper Subansiri District,768835,1249446759.0
Arunachal Pradesh,2024,4,Tawang District,913556,1950022807.0
Arunachal Pradesh,2024,4,Namsai District,1331993,1658212165.0
Assam,2018,1,Tinsukia District,41237,45886201.028968215
Assam,2018,1,Lakhimpur District,24946,17798094.851239465
Assam,2018,1,Kamrup District,47859,41868129.255927615
Assam,2018,1,Kokrajhar District,16397,17935304.652874034
Assam,2018,1,Karbi Anglong District,15032,14875159.1867853
Assam,2018,1,Sivasagar District,16898,17611863.81889959
Assam,2018,1,Dibrugarh District,44792,53258765.86975427
Assam,2018,1,South Salmara Mancachar District,8415,9404471.999163514
Assam,2018,1,Nagaon District,66695,56352631.291476294
Assam,2018,1,Dhubri District,26072,24431277.76189988
Assam,2018,1,Golaghat District,22089,19058581.948010616
Assam,2018,1,Udalguri District,18168,14465756.75866175
Assam,2018,1,Majuli District,2598,1326721.023225203
Assam,2018,1,Sonitpur District,51976,73005566.24909952
Assam,2018,1,Hojai District,16917,15849610.99109809
Assam,2018,1,Marigaon District,79832,105067294.49868405
Assam,2018,1,Chirang District,8445,11665546.586547565
Assam,2018,1,Cachar District,56481,57250290.53047233
Assam,2018,1,Nalbari District,16878,12393870.992541898
Assam,2018,1,West Karbi Anglong District,1445,570966.7219731117
Assam,2018,1,Dhemaji District,16037,17004986.97044885
Assam,2018,1,Karimganj District,17261,17842353.51962607
Assam,2018,1,Bongaigaon District,18899,21510944.891263362
Assam,2018,1,Dima Hasao District,4233,4781136.056644153
Assam,2018,1,Baksa District,20964,22457849.86668141
Assam,2018,1,Charaideo District,13094,10873516.975702649
Assam,2018,1,Darrang District,28031,21593879.067580055
Assam,2018,1,Kamrup Metropolitan District,194617,284766218.98487484
Assam,2018,1,Hailakandi District,15865,11065155.715426873
Assam,2018,1,Barpeta District,67801,56352302.37753609
Assam,2018,1,Goalpara District,27132,25331840.51625772
Assam,2018,1,Biswanath District,16453,12983623.197160937
Assam,2018,1,Jorhat District,33322,41164542.05596451
Assam,2018,2,Tinsukia District,66715,102921465.63822293
Assam,2018,2,Lakhimpur District,39374,43214923.214693636
Assam,2018,2,Kamrup District,74537,83338163.66068907
Assam,2018,2,Kokrajhar District,25926,39803961.022866696
Assam,2018,2,Karbi Anglong District,21038,32715713.62045552
Assam,2018,2,Sivasagar District,32513,38045383.75274092
Assam,2018,2,Dibrugarh District,70642,110954951.68517756
Assam,2018,2,South Salmara Mancachar District,11905,17203000.741125718
Assam,2018,2,Nagaon District,105834,129818644.91478491
Assam,2018,2,Dhubri District,45661,47762317.267708406
Assam,2018,2,Golaghat District,36437,43250232.58380605
Assam,2018,2,Udalguri District,27215,30375056.040722743
Assam,2018,2,Majuli District,5058,3699473.567640461
Assam,2018,2,Sonitpur District,82799,151230715.30607644
Assam,2018,2,Hojai District,27627,37555286.20435598
Assam,2018,2,Marigaon District,109223,204057284.2187584
Assam,2018,2,Chirang District,11893,20005276.774361502
Assam,2018,2,Cachar District,83921,105147622.61224496
Assam,2018,2,Nalbari District,28274,31476842.338154256
Assam,2018,2,West Karbi Anglong District,3059,2307157.4720137673
Assam,2018,2,Dhemaji District,28048,40136198.64929268
Assam,2018,2,Karimganj District,29742,31418376.057903484
Assam,2018,2,Bongaigaon District,30556,41124057.19038026
Assam,2018,2,Dima Hasao District,7909,15427592.177508093
Assam,2018,2,Baksa District,34924,47062551.49763677
Assam,2018,2,Charaideo District,22888,22097271.472520743
Assam,2018,2,Darrang District,39773,44360631.7271892
Assam,2018,2,Kamrup Metropolitan District,320417,548619364.2308466
Assam,2018,2,Hailakandi District,20932,21484955.789951526
Assam,2018,2,Barpeta District,102217,117541108.74699074
Assam,2018,2,Goalpara District,38784,48654323.65172512
Assam,2018,2,Biswanath District,24691,27140715.978855878
Assam,2018,2,Jorhat District,53341,70634515.73039348
Assam,2018,3,Tinsukia District,90928,155121755.76365337
Assam,2018,3,Lakhimpur District,51496,62695597.63194518
Assam,2018,3,Kamrup District,112726,148929589.80060056
Assam,2018,3,Kokrajhar District,40412,73077064.97429448
Assam,2018,3,Karbi Anglong District,34200,57257408.755169146
Assam,2018,3,Sivasagar District,42699,59919419.351953864
Assam,2018,3,Dibrugarh District,98822,173048841.5837646
Assam,2018,3,South Salmara Mancachar District,19386,26159422.01650779
Assam,2018,3,Nagaon District,142195,208584967.9650631
Assam,2018,3,Dhubri District,67607,103548615.7832775
Assam,2018,3,Golaghat District,54792,72105527.30150673
Assam,2018,3,Udalguri District,37084,49951166.54462874
Assam,2018,3,Majuli District,10921,8055597.913024999
Assam,2018,3,Sonitpur District,116196,252135800.71617544
Assam,2018,3,Hojai District,38583,61817228.94964518
Assam,2018,3,Marigaon District,102867,189132040.91743046
Assam,2018,3,Chirang District,18743,33723485.937145546
Assam,2018,3,Cachar District,123735,189612378.33199263
Assam,2018,3,Nalbari District,41038,53972192.02012733
Assam,2018,3,West Karbi Anglong District,4995,4925639.964915074
Assam,2018,3,Dhemaji District,40083,66647316.37566679
Assam,2018,3,Karimganj District,44660,61562538.83501206
Assam,2018,3,Bongaigaon District,50508,82437701.24197799
Assam,2018,3,Dima Hasao District,12952,21820660.620861933
Assam,2018,3,Baksa District,50043,78080860.90020068
Assam,2018,3,Charaideo District,28439,37987634.601765156
Assam,2018,3,Darrang District,51560,66050473.03652644
Assam,2018,3,Kamrup Metropolitan District,476050,884121118.8280818
Assam,2018,3,Hailakandi District,29372,41835687.849734716
Assam,2018,3,Barpeta District,145945,230125281.84070832
Assam,2018,3,Goalpara District,57019,88773137.69565679
Assam,2018,3,Biswanath District,36071,49910423.578981526
Assam,2018,3,Jorhat District,79724,118008412.28630178
Assam,2018,4,Tinsukia District,127171,253718923.0695014
Assam,2018,4,Lakhimpur District,76772,104689433.9410339
Assam,2018,4,Kamrup District,162592,236088241.49952984
Assam,2018,4,Kokrajhar District,54606,123041318.32460138
Assam,2018,4,Karbi Anglong District,53526,99019113.05197324
Assam,2018,4,Sivasagar District,64113,99142069.27717136
Assam,2018,4,Dibrugarh District,144931,264346941.4922037
Assam,2018,4,South Salmara Mancachar District,26334,41170236.09800846
Assam,2018,4,Nagaon District,435103,317973029.4737475
Assam,2018,4,Dhubri District,120810,181651044.89215764
Assam,2018,4,Golaghat District,79500,126712548.58575013
Assam,2018,4,Udalguri District,51801,90836151.48172343
Assam,2018,4,Majuli District,16498,13348264.371029017
Assam,2018,4,Sonitpur District,165399,358549931.5785284
Assam,2018,4,Hojai District,53523,85392301.38430479
Assam,2018,4,Marigaon District,193075,207853575.09985885
Assam,2018,4,Chirang District,26846,51647368.60810732
Assam,2018,4,Cachar District,187360,272342253.1327299
Assam,2018,4,Nalbari District,61931,83491586.46719557
Assam,2018,4,West Karbi Anglong District,8729,9985888.620912362
Assam,2018,4,Dhemaji District,62268,109905674.61382627
Assam,2018,4,Karimganj District,62738,106200165.50793815
Assam,2018,4,Bongaigaon District,84239,130369027.68827806
Assam,2018,4,Dima Hasao District,19051,41435937.87571849
Assam,2018,4,Baksa District,66602,114583565.16335085
Assam,2018,4,Charaideo District,41777,63979700.09467216
Assam,2018,4,Darrang District,67909,109435369.93100193
Assam,2018,4,Kamrup Metropolitan District,686010,1345451492.4344451
Assam,2018,4,Hailakandi District,43026,66947503.90498407
Assam,2018,4,Barpeta District,225449,354675455.9326413
Assam,2018,4,Goalpara District,101776,171764620.40410748
Assam,2018,4,Biswanath District,52514,77750045.91803803
Assam,2018,4,Jorhat District,110193,174524079.09399235
Assam,2019,1,Tinsukia District,147896,296016100.5028683
Assam,2019,1,Lakhimpur District,84448,135217192.88448116
Assam,2019,1,Kamrup District,205094,325387078.1294668
Assam,2019,1,Kokrajhar District,60413,133213397.36930162
Assam,2019,1,Karbi Anglong District,62301,127716945.67539394
Assam,2019,1,Sivasagar District,73524,126028482.89568174
Assam,2019,1,Dibrugarh District,180303,308520050.14443624
Assam,2019,1,South Salmara Mancachar District,36980,56376266.78267565
Assam,2019,1,Nagaon District,265767,382986937.00269973
Assam,2019,1,Dhubri District,129363,168832530.51137578
Assam,2019,1,Golaghat District,87815,150699869.58634305
Assam,2019,1,Udalguri District,57339,103343677.3304387
Assam,2019,1,Majuli District,15485,17616797.703198176
Assam,2019,1,Sonitpur District,197716,409811805.46215415
Assam,2019,1,Hojai District,61983,111715019.69069499
Assam,2019,1,Marigaon District,162645,225891536.78995085
Assam,2019,1,Chirang District,32379,57539957.793235525
Assam,2019,1,Cachar District,206705,335675210.43395036
Assam,2019,1,Nalbari District,70290,94533334.09474775
Assam,2019,1,West Karbi Anglong District,11141,12368112.989129752
Assam,2019,1,Dhemaji District,69519,134956449.74452934
Assam,2019,1,Karimganj District,76238,140750684.4913983
Assam,2019,1,Bongaigaon District,91061,138479281.39115623
Assam,2019,1,Dima Hasao District,26119,51318304.483347006
Assam,2019,1,Baksa District,75377,147648364.40043023
Assam,2019,1,Charaideo District,49174,75457156.83902974
Assam,2019,1,Darrang District,76056,137391656.7613904
Assam,2019,1,Kamrup Metropolitan District,1306775,2605380335.9221573
Assam,2019,1,Hailakandi District,51401,76319460.13758466
Assam,2019,1,Barpeta District,262834,416977891.5222329
Assam,2019,1,Goalpara District,113947,191744923.215441
Assam,2019,1,Biswanath District,59752,91143579.39023894
Assam,2019,1,Jorhat District,125165,215041144.37958878
Assam,2019,2,Tinsukia District,148294,323303192.86631006
Assam,2019,2,Lakhimpur District,88545,154536738.9259897
Assam,2019,2,Kamrup District,176995,334724712.0725308
Assam,2019,2,Kokrajhar District,58445,136120566.46937045
Assam,2019,2,Karbi Anglong District,62877,150114998.0486763
Assam,2019,2,Sivasagar District,74192,134981544.55457747
Assam,2019,2,Dibrugarh District,169357,356524668.62132466
Assam,2019,2,South Salmara Mancachar District,32449,69876713.5681054
Assam,2019,2,Nagaon District,231423,422774561.3600137
Assam,2019,2,Dhubri District,101070,201203482.8078656
Assam,2019,2,Golaghat District,89403,157511569.7769561
Assam,2019,2,Udalguri District,51326,108912182.9417754
Assam,2019,2,Majuli District,13800,17825869.547913164
Assam,2019,2,Sonitpur District,192707,444337498.7727274
Assam,2019,2,Hojai District,63598,125015617.43164451
Assam,2019,2,Marigaon District,130459,235342996.58975655
Assam,2019,2,Chirang District,31621,65747046.11911234
Assam,2019,2,Cachar District,177976,335126276.2091832
Assam,2019,2,Nalbari District,64729,108268162.20079285
Assam,2019,2,West Karbi Anglong District,10260,15373392.65586704
Assam,2019,2,Dhemaji District,66560,150306788.81401327
Assam,2019,2,Karimganj District,70635,144404980.60717523
Assam,2019,2,Bongaigaon District,80689,155642822.44107914
Assam,2019,2,Dima Hasao District,28118,57300032.732904054
Assam,2019,2,Baksa District,70162,150019543.78537178
Assam,2019,2,Charaideo District,45010,85061629.87310517
Assam,2019,2,Darrang District,70387,140869866.57193547
Assam,2019,2,Kamrup Metropolitan District,2488968,5089657876.792284
Assam,2019,2,Hailakandi District,47321,79845847.4735592
Assam,2019,2,Barpeta District,228864,466786096.3962827
Assam,2019,2,Goalpara District,97473,201643499.0041993
Assam,2019,2,Biswanath District,61472,103930302.37445727
Assam,2019,2,Jorhat District,129744,231878110.7193352
Assam,2019,3,Tinsukia District,196245,357008533.5524102
Assam,2019,3,Lakhimpur District,115808,182745177.30235583
Assam,2019,3,Kamrup District,222439,383883901.2477784
Assam,2019,3,Kokrajhar District,77004,153786698.22127867
Assam,2019,3,Karbi Anglong District,83280,173411321.7054668
Assam,2019,3,Sivasagar District,101503,160505383.6038673
Assam,2019,3,Dibrugarh District,230118,425077484.1305032
Assam,2019,3,South Salmara Mancachar District,32727,72591552.54102534
Assam,2019,3,Nagaon District,258566,491551326.21533215
Assam,2019,3,Dhubri District,115968,235503727.27269614
Assam,2019,3,Golaghat District,121795,194779142.64060068
Assam,2019,3,Udalguri District,69169,133441413.33037564
Assam,2019,3,Majuli District,19170,22241164.406410635
Assam,2019,3,Sonitpur District,257623,533288953.0348954
Assam,2019,3,Hojai District,84120,154505233.54100534
Assam,2019,3,Marigaon District,116364,242626706.43637043
Assam,2019,3,Chirang District,45161,87808950.14199197
Assam,2019,3,Cachar District,242781,426502976.7731471
Assam,2019,3,Nalbari District,82814,133051985.19050579
Assam,2019,3,West Karbi Anglong District,14546,17754122.575145133
Assam,2019,3,Dhemaji District,90986,171587706.61930138
Assam,2019,3,Karimganj District,96450,167756855.41726434
Assam,2019,3,Bongaigaon District,104703,184020775.95802072
Assam,2019,3,Dima Hasao District,41878,80649915.50275356
Assam,2019,3,Baksa District,92868,175122110.84885266
Assam,2019,3,Charaideo District,59490,103441007.08569291
Assam,2019,3,Darrang District,90156,171891466.67902952
Assam,2019,3,Kamrup Metropolitan District,2188998,6080999088.202992
Assam,2019,3,Hailakandi District,62134,95753332.8367396
Assam,2019,3,Barpeta District,262253,505242250.25981045
Assam,2019,3,Goalpara District,119928,234306376.69394106
Assam,2019,3,Biswanath District,78058,123277846.06646207
Assam,2019,3,Jorhat District,167468,274329134.3924885
Assam,2019,4,Tinsukia District,224113,423685126.94560075
Assam,2019,4,Lakhimpur District,129734,211979144.7023744
Assam,2019,4,Kamrup District,249708,461559258.766533
Assam,2019,4,Kokrajhar District,90371,198548447.25328588
Assam,2019,4,Karbi Anglong District,95122,214907046.11081886
