State,Year,Quarter,District_name,Transaction_count,Transaction_amount
Andaman & Nicobar Islands,2024,1,North And Middle Andaman District,266400,601756070.0
Andaman & Nicobar Islands,2024,1,South Andaman District,3751724,5952049462.0
Andaman & Nicobar Islands,2024,1,Nicobar District,166796,305346303.0
Andaman & Nicobar Islands,2024,2,North And Middle Andaman District,313301,676844858.0
Andaman & Nicobar Islands,2024,2,South Andaman District,4153251,6285248054.0
Andaman & Nicobar Islands,2024,2,Nicobar District,186672,333687418.0
Andaman & Nicobar Islands,2024,3,North And Middle Andaman District,364075,724234808.0
Andaman & Nicobar Islands,2024,3,South Andaman District,4704639,6567147442.0
Andaman & Nicobar Islands,2024,3,Nicobar District,210536,372462759.0
Andaman & Nicobar Islands,2024,4,North And Middle Andaman District,411230,759100984.0
Andaman & Nicobar Islands,2024,4,South Andaman District,5419850,7760167334.0
Andaman & Nicobar Islands,2024,4,Nicobar District,232820,401676455.0
Andhra Pradesh,2018,1,East Godavari District,943935,1235785515.5997267
Andhra Pradesh,2018,1,Srikakulam District,458921,587778028.9183557
Andhra Pradesh,2018,1,Spsr Nellore District,531612,676643237.8069417
Andhra Pradesh,2018,1,Vizianagaram District,420990,505783445.78162
Andhra Pradesh,2018,1,Visakhapatnam District,1256469,1749966196.5049946
Andhra Pradesh,2018,1,Prakasam District,534757,748990775.8676485
Andhra Pradesh,2018,1,Anantapur District,638664,788830646.0324218
Andhra Pradesh,2018,1,Ysr District,487333,681481931.0936775
Andhra Pradesh,2018,1,West Godavari District,577090,853547668.7532666
Andhra Pradesh,2018,1,Kurnool District,679623,764905298.7350456
Andhra Pradesh,2018,1,Chittoor District,830324,1009621878.0870512
Andhra Pradesh,2018,1,Guntur District,815932,1108686589.0266829
Andhra Pradesh,2018,1,Krishna District,863935,1284255179.6156201
Andhra Pradesh,2018,2,East Godavari District,1221677,2168914928.4239016
Andhra Pradesh,2018,2,Srikakulam District,559868,929392017.3670053
Andhra Pradesh,2018,2,Spsr Nellore District,780454,1542057934.0108962
Andhra Pradesh,2018,2,Vizianagaram District,529588,811711367.5080048
Andhra Pradesh,2018,2,Visakhapatnam District,1641192,2987853607.2939095
Andhra Pradesh,2018,2,Prakasam District,739991,1571167562.1276276
Andhra Pradesh,2018,2,Anantapur District,937023,1690366079.0557928
Andhra Pradesh,2018,2,Ysr District,690842,1415500367.6861844
Andhra Pradesh,2018,2,West Godavari District,786033,1688025212.3045945
Andhra Pradesh,2018,2,Kurnool District,968439,1531888665.6843233
Andhra Pradesh,2018,2,Chittoor District,1185723,1990419125.8937118
Andhra Pradesh,2018,2,Guntur District,1088101,2108475811.7859967
Andhra Pradesh,2018,2,Krishna District,1224987,2448141593.4919834
Andhra Pradesh,2018,3,East Godavari District,3226907,3551247095.307447
Andhra Pradesh,2018,3,Srikakulam District,1073883,1318322236.598471
Andhra Pradesh,2018,3,Spsr Nellore District,1308890,2215938596.185108
Andhra Pradesh,2018,3,Vizianagaram District,970132,1163546006.895916
Andhra Pradesh,2018,3,Visakhapatnam District,3394576,4821892253.393524
Andhra Pradesh,2018,3,Prakasam District,1319651,2346453445.483843
Andhra Pradesh,2018,3,Anantapur District,1815215,2681787750.464165
Andhra Pradesh,2018,3,Ysr District,1557444,2235904512.2542048
Andhra Pradesh,2018,3,West Godavari District,1431282,2309078492.8058147
Andhra Pradesh,2018,3,Kurnool District,2921189,2908389261.539773
Andhra Pradesh,2018,3,Chittoor District,2297429,3283517630.720593
Andhra Pradesh,2018,3,Guntur District,1912529,3127764663.180438
Andhra Pradesh,2018,3,Krishna District,2396934,3754202654.3844614
Andhra Pradesh,2018,4,East Godavari District,3052762,4652624623.436675
Andhra Pradesh,2018,4,Srikakulam District,1252807,1870278609.504549
Andhra Pradesh,2018,4,Spsr Nellore District,1814997,3293448556.9734454
Andhra Pradesh,2018,4,Vizianagaram District,1386787,1817673252.5417767
Andhra Pradesh,2018,4,Visakhapatnam District,4791421,7366635864.849373
Andhra Pradesh,2018,4,Prakasam District,1692862,3255254226.03728
Andhra Pradesh,2018,4,Anantapur District,2286391,3975878156.329829
Andhra Pradesh,2018,4,Ysr District,1732527,3252340063.2478595
Andhra Pradesh,2018,4,West Godavari District,1688482,3237504255.4632454
